TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS
0,2023-01-01 01:11:00,8,8,2.08,4260,0
1,2023-01-01 01:56:44,55,81,35.06,7004,0
2,2023-01-01 03:00:01,53,88,2.32,10801,0
3,2023-01-01 03:22:53,81,80,83.99,12173,0
4,2023-01-01 03:41:00,67,83,125.0,13260,0
5,2023-01-01 03:42:06,98,92,1.71,13326,0
6,2023-01-01 04:00:12,38,93,11.13,14412,0
7,2023-01-01 04:06:08,35,51,65.09,14768,0
8,2023-01-01 04:31:00,28,17,84.23,16260,0
9,2023-01-01 04:49:26,67,83,72.81,17366,0
10,2023-01-01 05:04:21,25,17,11.32,18261,0
11,2023-01-01 05:05:03,22,65,19.85,18303,0
12,2023-01-01 05:22:02,81,80,107.43,19322,0
13,2023-01-01 05:24:27,98,92,1.0,19467,0
14,2023-01-01 05:38:09,81,80,74.98,20289,0
15,2023-01-01 05:51:21,1,5,8.04,21081,0
16,2023-01-01 05:59:48,83,25,81.39,21588,0
17,2023-01-01 06:15:10,80,24,13.67,22510,0
18,2023-01-01 06:31:49,83,25,37.92,23509,0
19,2023-01-01 06:35:11,67,83,69.62,23711,0
20,2023-01-01 06:45:10,68,85,29.71,24310,0
21,2023-01-01 06:54:28,37,54,39.03,24868,0
22,2023-01-01 07:02:43,53,88,5.67,25363,0
23,2023-01-01 07:12:52,37,54,28.51,25972,0
24,2023-01-01 07:19:05,0,87,123.59,26345,0
25,2023-01-01 07:22:06,65,95,4.78,26526,0
26,2023-01-01 07:28:08,32,17,69.86,26888,0
27,2023-01-01 07:30:04,58,74,24.62,27004,0
28,2023-01-01 07:32:36,1,5,36.12,27156,0
29,2023-01-01 07:32:39,35,51,63.17,27159,0
30,2023-01-01 07:48:51,38,78,29.12,28131,0
31,2023-01-01 07:58:34,94,10,74.24,28714,0
32,2023-01-01 08:11:47,40,31,107.77,29507,0
33,2023-01-01 08:18:37,37,54,22.16,29917,0
34,2023-01-01 08:29:16,45,93,58.7,30556,0
35,2023-01-01 08:33:01,50,11,10.95,30781,0
36,2023-01-01 08:34:01,98,42,7.18,30841,0
37,2023-01-01 08:38:34,88,4,41.52,31114,0
38,2023-01-01 08:47:15,83,7,82.71,31635,0
39,2023-01-01 08:59:11,79,4,128.94,32351,0
40,2023-01-01 09:14:41,92,56,100.39,33281,0
41,2023-01-01 09:56:05,88,4,76.27,35765,0
42,2023-01-01 10:18:04,89,24,43.16,37084,0
43,2023-01-01 10:20:55,38,93,27.83,37255,0
44,2023-01-01 10:26:46,29,62,157.87,37606,0
45,2023-01-01 10:29:45,41,79,6.43,37785,0
46,2023-01-01 10:46:51,22,65,39.49,38811,0
47,2023-01-01 10:53:41,92,56,63.07,39221,0
48,2023-01-01 10:55:58,38,93,13.64,39358,0
49,2023-01-01 10:59:09,89,24,23.7,39549,0
50,2023-01-01 11:02:37,98,92,9.63,39757,0
51,2023-01-01 11:07:14,53,88,0.96,40034,0
52,2023-01-01 11:08:01,15,2,50.45,40081,0
53,2023-01-01 11:15:03,25,88,37.99,40503,0
54,2023-01-01 11:25:20,45,93,36.15,41120,0
55,2023-01-01 11:28:50,46,34,79.84,41330,0
56,2023-01-01 11:28:57,94,10,53.83,41337,0
57,2023-01-01 11:35:36,46,52,40.08,41736,0
58,2023-01-01 11:37:12,89,24,16.87,41832,0
59,2023-01-01 11:43:41,88,4,89.25,42221,0
60,2023-01-01 11:52:13,5,79,69.4,42733,0
61,2023-01-01 11:58:19,94,10,59.66,43099,0
62,2023-01-01 11:59:14,55,81,36.28,43154,0
63,2023-01-01 11:59:34,61,31,89.87,43174,0
64,2023-01-01 12:05:40,14,88,63.93,43540,0
65,2023-01-01 12:07:53,81,80,68.72,43673,0
66,2023-01-01 12:19:58,81,80,12.07,44398,0
67,2023-01-01 12:38:40,33,64,67.76,45520,0
68,2023-01-01 12:42:54,92,56,80.73,45774,0
69,2023-01-01 12:50:27,67,83,112.24,46227,0
70,2023-01-01 12:57:40,32,17,85.36,46660,0
71,2023-01-01 13:26:39,55,81,25.08,48399,0
72,2023-01-01 13:30:46,94,10,10.94,48646,0
73,2023-01-01 13:34:19,88,4,44.52,48859,0
74,2023-01-01 13:56:58,25,88,47.68,50218,0
75,2023-01-01 14:17:21,46,34,50.96,51441,0
76,2023-01-01 14:19:50,14,88,1.36,51590,0
77,2023-01-01 14:53:09,52,94,36.23,53589,0
78,2023-01-01 15:17:59,33,64,47.78,55079,0
79,2023-01-01 15:26:58,79,8,110.62,55618,0
80,2023-01-01 15:31:38,80,24,11.65,55898,0
81,2023-01-01 15:41:42,49,26,20.09,56502,0
82,2023-01-01 16:14:52,37,54,25.55,58492,0
83,2023-01-01 16:15:48,88,4,53.78,58548,0
84,2023-01-01 16:24:56,8,46,10.1,59096,0
85,2023-01-01 16:45:03,79,8,111.21,60303,0
86,2023-01-01 18:00:16,0,29,77.34,64816,0
87,2023-01-01 18:12:31,83,7,64.08,65551,0
88,2023-01-01 18:22:57,35,38,73.54,66177,0
89,2023-01-01 18:43:12,38,78,33.02,67392,0
90,2023-01-01 18:56:55,51,60,22.22,68215,0
91,2023-01-01 19:02:02,0,87,46.51,68522,0
92,2023-01-01 19:08:07,53,88,7.45,68887,0
93,2023-01-01 19:24:08,88,4,4.68,69848,0
94,2023-01-01 19:28:39,28,17,62.15,70119,0
95,2023-01-01 19:35:51,5,79,62.88,70551,0
96,2023-01-01 19:56:38,83,25,52.7,71798,0
97,2023-01-01 21:23:23,98,42,5.2,77003,0
98,2023-01-01 21:35:56,8,46,14.26,77756,0
99,2023-01-01 21:36:36,29,40,103.09,77796,0
100,2023-01-01 21:56:07,25,17,0.59,78967,0
101,2023-01-02 01:09:14,28,17,86.78,90554,1
102,2023-01-02 02:54:53,67,83,15.41,96893,1
103,2023-01-02 03:21:24,81,80,87.68,98484,1
104,2023-01-02 03:34:13,9,84,71.42,99253,1
105,2023-01-02 03:47:45,38,78,14.78,100065,1
106,2023-01-02 04:38:25,37,54,18.34,103105,1
107,2023-01-02 04:41:04,83,7,33.5,103264,1
108,2023-01-02 04:42:58,38,93,8.5,103378,1
109,2023-01-02 04:44:07,51,60,67.84,103447,1
110,2023-01-02 05:22:24,5,79,43.84,105744,1
111,2023-01-02 05:24:54,98,92,9.7,105894,1
112,2023-01-02 05:47:27,65,95,6.62,107247,1
113,2023-01-02 06:08:25,47,17,81.33,108505,1
114,2023-01-02 06:20:59,40,31,68.68,109259,1
115,2023-01-02 06:21:57,33,64,45.9,109317,1
116,2023-01-02 06:35:54,53,88,7.94,110154,1
117,2023-01-02 06:35:58,83,7,115.53,110158,1
118,2023-01-02 06:36:57,58,27,6.41,110217,1
119,2023-01-02 06:41:42,25,88,128.12,110502,1
120,2023-01-02 06:59:11,81,80,112.23,111551,1
121,2023-01-02 07:07:48,78,72,97.36,112068,1
122,2023-01-02 07:09:57,31,8,7.14,112197,1
123,2023-01-02 07:11:06,29,62,44.96,112266,1
124,2023-01-02 07:16:46,35,51,48.0,112606,1
125,2023-01-02 07:22:55,79,4,58.4,112975,1
126,2023-01-02 07:31:23,65,95,15.59,113483,1
127,2023-01-02 07:45:53,43,82,34.41,114353,1
128,2023-01-02 07:47:01,22,99,45.81,114421,1
129,2023-01-02 07:47:40,65,95,4.13,114460,1
130,2023-01-02 08:04:21,98,92,7.67,115461,1
131,2023-01-02 08:48:23,32,88,67.35,118103,1
132,2023-01-02 08:51:06,0,87,54.72,118266,1
133,2023-01-02 08:53:33,31,8,6.53,118413,1
134,2023-01-02 08:59:15,79,46,40.61,118755,1
135,2023-01-02 09:04:46,37,54,7.88,119086,1
136,2023-01-02 09:05:28,8,8,2.19,119128,1
137,2023-01-02 09:07:28,78,71,92.13,119248,1
138,2023-01-02 09:08:16,81,80,51.06,119296,1
139,2023-01-02 09:12:47,8,8,6.08,119567,1
140,2023-01-02 09:13:54,81,80,59.75,119634,1
